GE|110.45
LOW|208.52
SPGI|365.98
NEE|57.35
AMAT|138.51
BA|191.66
NOW|558.96
BKNG|3087.99
AXP|149.5
DE|377.59
T|15.04
GS|323.64
RTX|72.1
SBUX|91
SYK|274.05
PLD|111.83
LMT|409.03
ISRG|292.29
EHC|67.16
TJX|89.34
SCHW|55.1
ADP|241.31
BLK|646.89
MDLZ|69.76
MMC|190.3
UBER|45.83
GILD|74.61
CVS|69.96
VRTX|347.74
REGN|822.1
ABNB|137.21
ADI|174.9
CI|291.99
LRCX|627
SLB|58.06
PGR|139.79
ZTS|174
C|41.3
BX|107.74
BSX|52.5
AMT|164.61
BDX|253.22
MO|42.1
